"client_id","occupation","country","locale","client_created_at","receber_newsletter","signature_start_date","signature_end_date","signature_active","days_inactive","institutional_client_status","order_id","order_price","order_status","payment_method","plan_duration","coupon_description","coupon_discountType","coupon_amount"
1,Analista de Sistemas,BR,pt-BR,"2012-07-24 05:14:33",0,"2012-10-01 03:00:00","2015-12-31 02:00:00","0",3411,NEVER,,,,,10,,,
1,Analista de Sistemas,BR,pt-BR,"2012-07-24 05:14:33",0,"2012-10-05 22:29:44","2013-10-05 22:29:44","0",4228,NEVER,48,400.00,completed,PayPal,365,,,
1,Analista de Sistemas,BR,pt-BR,"2012-07-24 05:14:33",0,"2012-11-03 23:05:50","2012-11-04 23:05:50","0",4563,NEVER,65,1.00,completed,PayPal,1,,,
1,Analista de Sistemas,BR,pt-BR,"2012-07-24 05:14:33",0,"2012-11-05 16:15:46","2012-11-06 16:15:46","0",4561,NEVER,66,1.00,completed,PayPal,1,,,
2,bla,,pt-BR,"2012-07-27 14:59:29",1,,,"0",,NEVER,,,,,,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2012-08-21 03:00:00","2012-10-17 03:00:00","0",4581,NEVER,1,40.00,completed,PayPal,30,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2012-08-21 03:00:00","2015-09-20 03:00:00","0",3513,NEVER,2,40.00,completed,PayPal,10,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2012-08-21 06:09:17","2013-08-21 06:09:17","0",4273,NEVER,3,400.00,completed,PayPal,365,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2012-09-11 04:46:38","2012-09-12 04:46:38","0",4616,NEVER,34,1.00,completed,PayPal,1,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2012-09-11 04:53:19","2012-09-12 04:53:19","0",4616,NEVER,32,1.00,completed,PayPal,1,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2012-09-11 05:49:41","2013-09-11 05:49:41","0",4252,NEVER,35,400.00,completed,PayPal,365,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2012-09-11 06:38:15","2012-09-12 06:38:15","0",4616,NEVER,23,1.00,completed,PayPal,1,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2012-10-04 06:51:56","2013-10-04 06:51:56","0",4229,NEVER,47,400.00,completed,PayPal,365,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2012-10-09 00:55:40","2012-11-08 00:55:40","0",4559,NEVER,53,40.00,completed,PayPal,30,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2012-10-27 21:34:02","2012-10-28 21:34:02","0",4570,NEVER,56,1.00,completed,PayPal,1,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2012-11-06 03:51:09","2012-11-13 03:51:09","0",4554,NEVER,68,1.00,completed,PayPal,7,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2012-11-20 02:00:00","2012-12-26 02:00:00","0",4511,NEVER,,,,,10,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2012-12-24 04:20:11","2012-12-25 04:20:11","0",4512,NEVER,31,1.00,completed,PagSeguro,1,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2012-12-24 04:41:08","2012-12-25 04:41:08","0",4512,NEVER,30,1.00,completed,PayPal,1,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2013-12-15 02:00:00","2014-12-15 02:00:00","0",3792,NEVER,,,,,365,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2014-07-10 20:28:01","2014-07-10 20:28:02","0",3950,NEVER,651,90.00,refunded,PayPal,90,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2014-09-22 13:30:04","2014-09-22 14:30:05","0",3876,NEVER,770,35.00,refunded,PayPal,30,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2014-10-27 14:55:23","2014-11-26 14:55:23","0",3811,NEVER,866,1.00,completed,PagSeguro,30,,,
3,Xlunger,BR,pt-BR,"2012-08-21 04:59:47",0,"2014-12-02 11:50:05","2014-12-16 11:50:05","0",3791,NEVER,960,1.00,completed,PagSeguro,7,,,
4,testador,US,pt-BR,"2012-08-21 06:16:47",0,,,"0",,NEVER,,,,,,,,
5,Médico,BR,pt-BR,"2012-08-28 04:00:43",1,"2014-02-16 03:00:00","2099-11-13 03:00:00","1",-27222,EXPIRED,,,,,365,,,
6,Professor,,pt-BR,"2012-09-30 09:17:04",1,,,"0",,NEVER,,,,,,,,
7,Médico,BR,pt-BR,"2012-10-02 19:17:38",1,"2012-11-12 02:00:00","2099-11-02 02:00:00","1",-27211,ACTIVE,3691,50.00,completed,PagSeguro,365,,,
8,Desenvolvedor Web,,pt-BR,"2012-10-04 04:51:51",0,,,"0",,NEVER,,,,,,,,
9, dasds,,pt-BR,"2012-10-09 20:51:46",0,,,"0",,NEVER,,,,,,,,
10,Fisioterapeuta,US,pt-BR,"2012-10-17 23:13:25",0,"2014-12-17 02:00:00","2024-04-12 03:00:00","0",386,EXPIRED,,,,,10,,,
11,Advogada,BR,pt-BR,"2012-10-25 00:24:56",1,,,"0",,NEVER,,,,,,,,
