client_id,occupation,country,locale,client_created_at,receber_newsletter,signature_start_date,signature_end_date,signature_active,days_inactive,institutional_client_status,order_id,order_price,order_status,payment_method,plan_duration,coupon_description,coupon_discountType,coupon_amount
1,Analista de Sistemas,BR,pt-BR,2012-07-24 05:14:33,0.0,2012-10-05 22:29:44,2013-10-05 22:29:44,0,4228.0,NEVER,48.0,400.0,completed,PayPal,365.0,,,
1,Analista de Sistemas,BR,pt-BR,2012-07-24 05:14:33,0.0,2012-11-03 23:05:50,2012-11-04 23:05:50,0,4563.0,NEVER,65.0,1.0,completed,PayPal,1.0,,,
1,Analista de Sistemas,BR,pt-BR,2012-07-24 05:14:33,0.0,2012-11-05 16:15:46,2012-11-06 16:15:46,0,4561.0,NEVER,66.0,1.0,completed,PayPal,1.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2012-08-21 03:00:00,2012-10-17 03:00:00,0,4581.0,NEVER,1.0,40.0,completed,PayPal,30.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2012-08-21 03:00:00,2015-09-20 03:00:00,0,3513.0,NEVER,2.0,40.0,completed,PayPal,10.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2012-08-21 06:09:17,2013-08-21 06:09:17,0,4273.0,NEVER,3.0,400.0,completed,PayPal,365.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2012-09-11 04:46:38,2012-09-12 04:46:38,0,4616.0,NEVER,34.0,1.0,completed,PayPal,1.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2012-09-11 04:53:19,2012-09-12 04:53:19,0,4616.0,NEVER,32.0,1.0,completed,PayPal,1.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2012-09-11 05:49:41,2013-09-11 05:49:41,0,4252.0,NEVER,35.0,400.0,completed,PayPal,365.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2012-09-11 06:38:15,2012-09-12 06:38:15,0,4616.0,NEVER,23.0,1.0,completed,PayPal,1.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2012-10-04 06:51:56,2013-10-04 06:51:56,0,4229.0,NEVER,47.0,400.0,completed,PayPal,365.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2012-10-09 00:55:40,2012-11-08 00:55:40,0,4559.0,NEVER,53.0,40.0,completed,PayPal,30.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2012-10-27 21:34:02,2012-10-28 21:34:02,0,4570.0,NEVER,56.0,1.0,completed,PayPal,1.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2012-11-06 03:51:09,2012-11-13 03:51:09,0,4554.0,NEVER,68.0,1.0,completed,PayPal,7.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2012-12-24 04:20:11,2012-12-25 04:20:11,0,4512.0,NEVER,31.0,1.0,completed,PagSeguro,1.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2012-12-24 04:41:08,2012-12-25 04:41:08,0,4512.0,NEVER,30.0,1.0,completed,PayPal,1.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2014-07-10 20:28:01,2014-07-10 20:28:02,0,3950.0,NEVER,651.0,90.0,refunded,PayPal,90.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2014-09-22 13:30:04,2014-09-22 14:30:05,0,3876.0,NEVER,770.0,35.0,refunded,PayPal,30.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2014-10-27 14:55:23,2014-11-26 14:55:23,0,3811.0,NEVER,866.0,1.0,completed,PagSeguro,30.0,,,
3,Xlunger,BR,pt-BR,2012-08-21 04:59:47,0.0,2014-12-02 11:50:05,2014-12-16 11:50:05,0,3791.0,NEVER,960.0,1.0,completed,PagSeguro,7.0,,,
7,Médico,BR,pt-BR,2012-10-02 19:17:38,1.0,2012-11-12 02:00:00,2099-11-02 02:00:00,1,-27211.0,ACTIVE,3691.0,50.0,completed,PagSeguro,365.0,,,
12,Fisioterapeuta,BR,pt-BR,2012-10-31 00:34:23,1.0,2012-11-21 02:00:00,2013-11-21 02:00:00,0,4181.0,EXPIRED,58.0,1.0,completed,PayPal,10.0,,,
14,Médica,BR,pt-BR,2012-10-31 17:38:12,1.0,2012-12-27 22:29:38,2013-12-27 22:29:38,0,4145.0,NEVER,155.0,96.0,completed,PayPal,365.0,,,
14,Médica,BR,pt-BR,2012-10-31 17:38:12,1.0,2013-12-27 22:29:38,2014-12-27 22:29:38,0,3780.0,NEVER,436.0,180.0,completed,PagSeguro,365.0,,,
